A1811681
Faunal Box 82
05/05/2022 14:41
Kroeber, 20AMez, NN 01, 02
"C","A1811681","05/05/2022 15:02","1-124161.5","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/05/2022 15:02","1-124161.6","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/05/2022 15:02","1-124161.7","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/05/2022 15:02","1-124161.8","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
A1811681
Faunal Box 82
05/09/2022 09:33
Kroeber, 20AMez, NN 01, 02
"C","A1811681","05/09/2022 09:33","1-124162.3","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124162.1","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124162.2","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124163.5","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124163.6","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124163.4","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124163.2","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124163.1","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124163.3","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124164.1","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124164.4","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124164.2","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124165.2","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124165.1","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124166.1","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124166.6","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124166.5","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124166.4","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
"C","A1811681","05/09/2022 09:33","1-124166.2","Faunal Box 82","Kroeber, 20AMez, NN 01, 02"
